Cottonking Pvt. Ltd. -WH,,,,,,,,,,,,,,,,,,,,,,
STOCK REPORT,,,,,,,,,,,,,,,,,,,,,,
From Date : 12-Mar-2012 To : 12-Mar-2012,,,,,,,,,,,,,,,,,,,,,,
 , , , , , , , , ,TOTAL RECEIPTS,TOTAL RECEIPTS,TOTAL RECEIPTS,TOTAL RECEIPTS,TOTAL RECEIPTS,TOTAL RECEIPTS,TOTAL OUTWARD,TOTAL OUTWARD,TOTAL OUTWARD,TOTAL OUTWARD,TOTAL OUTWARD,TOTAL OUTWARD, ,
ITEM CODE,MRP,Basic Product,Product Specification,Size,Design No.,Production Type,OPENING STOCK,INIT QTY.,CUSTOMER RETURN,STOCK TRN IN,GRN QTY.,QDN/ADJ+,PHYSICAL STOCK (STOCK TAKE) EXCESS,TOTAL RECEIPTS,SOLD QTY.,TR OUT QTY,STOCK DELIVERY,QDN/ADJ-,PHYSICAL STOCK (STOCK TAKE) SHORTAGE,TOTAL OUTWARD,BALANCE STOCK,VALUE
0010010000748,650,SHIRT,FULL - SH,39 CM,6158,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000751,650,SHIRT,FULL - SH,42 CM,6158,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000753,650,SHIRT,HALF - SH,39 CM,6158,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000756,650,SHIRT,FULL - SH,39 CM,6126,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000784,550,SHIRT,HALF - SH,39 CM,5478,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000803,650,SHIRT,HALF - SH,39 CM,5296,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000811,650,SHIRT,FULL - SH,44 CM,5808,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000867,650,SHIRT,HALF - SH,39 CM,5910,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000869,650,SHIRT,HALF - SH,42 CM,5910,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000878,650,SHIRT,HALF - SH,44 CM,5809,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000880,650,SHIRT,FULL - SH,40 CM,5806,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000882,650,SHIRT,FULL - SH,44 CM,5806,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000883,650,SHIRT,HALF - SH,39 CM,5806,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000885,650,SHIRT,HALF - SH,42 CM,5806,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000912,650,SHIRT,HALF - SH,40 CM,5633,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000967,650,SHIRT,FULL - SH,42 CM,5650,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000980,650,SHIRT,FULL - SH,40 CM,5811,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000989,650,SHIRT,FULL - SH,42 CM,5825,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000992,650,SHIRT,HALF - SH,39 CM,5825,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000998,650,SHIRT,FULL - SH,42 CM,5795,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010001000,650,SHIRT,HALF - SH,39 CM,5795,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010001007,650,SHIRT,FULL - SH,44 CM,5804,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010001021,650,SHIRT,FULL - SH,40 CM,5807,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010001022,650,SHIRT,FULL - SH,42 CM,5807,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010001030,650,SHIRT,FULL - SH,42 CM,5801,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010001050,650,SHIRT,HALF - SH,42 CM,5812,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010001056,650,SHIRT,HALF - SH,39 CM,5800,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010001063,650,SHIRT,FULL - SH,42 CM,5697,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010001066,650,SHIRT,HALF - SH,40 CM,5697,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010001095,650,SHIRT,FULL - SH,42 CM,5805,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010001097,650,SHIRT,HALF - SH,39 CM,5805,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010001098,650,SHIRT,HALF - SH,40 CM,5805,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010001099,650,SHIRT,HALF - SH,42 CM,5805,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010001100,650,SHIRT,HALF - SH,44 CM,5805,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010001112,650,SHIRT,FULL - SH,40 CM,5621,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010001152,550,SHIRT,NA,40 CM,5651,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010001153,550,SHIRT,NA,42 CM,5651,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010001155,550,SHIRT,NA,39 CM,5651,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010001156,550,SHIRT,NA,40 CM,5651,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010001170,650,SHIRT,NA,39 CM,5754,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010001232,650,SHIRT,FULL - SH,40 CM,5649,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010001233,650,SHIRT,FULL - SH,42 CM,5649,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010001234,650,SHIRT,FULL - SH,44 CM,5649,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010001235,650,SHIRT,HALF - SH,39 CM,5649,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010001236,650,SHIRT,HALF - SH,40 CM,5649,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010001238,650,SHIRT,HALF - SH,42 CM,5649,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010001239,650,SHIRT,HALF - SH,44 CM,5649,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010001240,650,SHIRT,FULL - SH,39 CM,5648,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010001242,650,SHIRT,FULL - SH,42 CM,5648,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010001245,650,SHIRT,HALF - SH,39 CM,5648,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010001246,650,SHIRT,HALF - SH,40 CM,5648,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010001270,650,SHIRT,FULL - SH,44 CM,5627,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010001285,550,SHIRT,FULL - SH,39 CM,5355,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010001287,550,SHIRT,FULL - SH,42 CM,5355,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010001289,550,SHIRT,FULL - SH,44 CM,5355,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010001291,550,SHIRT,HALF - SH,39 CM,5355,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010001293,550,SHIRT,HALF - SH,40 CM,5355,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010001295,550,SHIRT,HALF - SH,42 CM,5355,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010001297,550,SHIRT,HALF - SH,44 CM,5355,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010001309,650,SHIRT,FULL - SH,40 CM,5628,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010001343,650,SHIRT,FULL - SH,42 CM,5625,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010001351,650,SHIRT,FULL - SH,40 CM,5623,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010001371,650,SHIRT,HALF - SH,39 CM,5794,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010001400,550,SHIRT,NA,39 CM,5651,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010001403,550,SHIRT,NA,44 CM,5651,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010001404,550,SHIRT,NA,39 CM,5651,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010001405,550,SHIRT,NA,40 CM,5651,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010001408,550,SHIRT,NA,39 CM,5584,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010001430,550,SHIRT,HALF - SH,39 CM,6615,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
